                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    2500                                      717                  8.9999999999999997E-002                  2.0000000000000000E-002                  2.4165731516871543E+012                  1.0000000000000000E+009                  3.2201533927123746E+003                  1.7755182490647797E-003                  1.3557146429610431E-001                  1.0357001911309813E+000                  3.6529286474576916E-001                  1.4569513049111195E-002                  6.0013758811539242E-001                  3.4414060723800409E-003                  1.0083971751909298E-003                  9.3604466089380004E-003                  2.0994599496987820E-003                  8.9999999999999997E-002                  0.0000000000000000E+000                  3.2876357827130519E-002                  1.3112561744490112E-003                  5.4012382930345042E-002                  3.0972654651420387E-004                  9.0755745767183394E-005                  8.4244019480442093E-004                  1.8895139547289041E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.9999999999977501E-002                  1.3557145648557520E-001                  1.6659606803529202E+003                  7.8989821169583285E+008                  5.0689425494446918E+011                  1.7757054619913131E-003                  1.7757054619913135E-003                  1.5188401682086742E-066                  3.4988284583806693E-005                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83 
                                    zone                                     logT                                   logRho                                     logP                                     logR                               luminosity                                     logL                                 velocity                                  entropy                         conv_mixing_type                                   csound                             v_div_csound                             total_energy                                  v_div_r                                      eta                                       mu                                    logdq                                 dq_ratio                                        q                                   radius                              temperature                                      tau                                   logtau                                 pressure                          pgas_div_ptotal                                  logPgas                                    grada                                   free_e                                     abar                                       ye                              log_opacity                                  eps_nuc                              non_nuc_neu                                 eps_grav                        mlt_mixing_length                                log_D_mix                             log_conv_vel                      conv_vel_div_csound                            log_mlt_D_mix                    pressure_scale_height                                    gradT                                    gradr                                  dlnd_dt                                  dlnT_dt                                     mass                                     mmid                                    logxq                                       h1                                       h2                                      he3                                      he4                                      li7                                      be7                                       b8                                      c12                                      n14                                      o16                                     ne20                                     mg24                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                  burn_ne                                  burn_na                                  burn_mg                                  burn_si                                   burn_s                                  burn_ar                                  burn_ca                                  burn_ti                                  burn_cr                                  burn_fe                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                    other                          gradr_sub_grada                                     logQ 
                                       1                  3.6533894912056200E+000                 -4.1331561643637951E+000                  7.0640955452659053E+000                 -8.6783171314524388E-001                  1.7755182490647797E-003                 -2.7506748595902426E+000                  0.0000000000000000E+000                  9.1158726207950096E+000                                        1                  4.4459162482057168E+005                 -2.5641430200653348E-017                 -1.2657195363268000E+015                  0.0000000000000000E+000                 -2.0000000003606669E+001                  3.1293558025678694E+000                 -1.2301029995663979E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.3557146429610431E-001                  4.5018341488549477E+003                  1.0000000000000000E+002                  2.0000000000000000E+000                  1.1590323164986541E+007                  9.9999991062950799E-001                  7.0640955064527917E+000                  1.2945586048089919E-001                  1.0000000046699346E-004                  1.9179022405472699E+000                  6.8507468454804576E-001                 -5.6213705773559075E-001                  6.3327515395088822E-025                  0.0000000000000000E+000                 -9.6897639595889567E-009                  2.2177787845382169E+006                  1.0091334229496811E+001                  4.2224693850730413E+000                  3.7541196296572793E-002                  1.0091446118529564E+001                  1.6860081156457068E-005                  1.3150048836622755E-001                  1.1617501714244627E+000                  0.0000000000000000E+000                  2.5547141070960692E-021                  8.9999999999999997E-002                  8.9999999999977501E-002                 -9.8999999999999986E+001                  3.6529286474624612E-001                  1.1410118793702176E-017                  1.4569513049539266E-002                  6.0013758811448736E-001                  2.8919334087868154E-015                  4.3146762398888380E-021                  7.3850850877718451E-094                  3.4414060723800448E-003                  1.0083971751909248E-003                  9.3604466089380021E-003                  2.0994599496987820E-003                  4.0903242835159982E-003                  6.3327515395088822E-025                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0322943109435636E+000                  5.6006485322496502E-001 
                                       2                  3.6534423823527926E+000                 -4.1328275587434122E+000                  7.0644977379353566E+000                 -8.6783176318630384E-001                  1.7755182490647792E-003                 -2.7506748595902430E+000                  0.0000000000000000E+000                  9.1158811928365591E+000                                        1                  4.4463403005462536E+005                 -2.5640245416733638E-017                 -1.2657196215082690E+015                  0.0000000000000000E+000                 -2.0000000003606747E+001                  3.1293940004206484E+000                 -1.2301029995663979E+001                  1.0000000000000000E+000                  9.9999999999949996E-001                  1.3557144867504611E-001                  4.5023824442676932E+003                  1.0002192875621644E+002                  2.0000952249377573E+000                  1.1601061736075632E+007                  9.9999991066872740E-001                  7.0644976991392774E+000                  1.2946986682233860E-001                  1.0000000046547646E-004                  1.9179022405472699E+000                  6.8507468454804576E-001                 -5.6168376438533707E-001                  6.3376022865092056E-025                  0.0000000000000000E+000                 -9.6916753399450968E-009                  2.2179662511313790E+006                  1.0091334229496811E+001                  4.2224693850730413E+000                  3.7537615951596909E-002                  1.0091448506690707E+001                  1.6862934292090137E-005                  1.3150699877795963E-001                  1.1626120192104801E+000                  0.0000000000000000E+000                  2.5572869960750731E-021                  8.9999999999954991E-002                  8.9999999999932495E-002                 -1.2301029995663979E+001                  3.6529286474624612E-001                  1.1410118793702176E-017                  1.4569513049539263E-002                  6.0013758811448736E-001                  2.8919334087868150E-015                  4.3146762398888410E-021                  7.3909418694554656E-094                  3.4414060723800448E-003                  1.0083971751909248E-003                  9.3604466089380021E-003                  2.0994599496987820E-003                  4.0903242835159982E-003                  6.3376022865092056E-025                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0331491555588612E+000                  5.6028767655100253E-001 
                                       3                  3.6535348611914857E+000                 -4.1322532939428962E+000                  7.0652006804325964E+000                 -8.6783181318953118E-001                  1.7755182490647792E-003                 -2.7506748595902430E+000                  0.0000000000000000E+000                  9.1158964342233784E+000                                        1                  4.4470832082013926E+005                 -2.5637836786322420E-017                 -1.2657195548078070E+015                  0.0000000000000000E+000                 -2.0000000003606043E+001                  3.1294607256718270E+000                 -1.1903089986991942E+001                  4.0000000000000091E-001                  9.9999999999899991E-001                  1.3557143306579969E-001                  4.5033412854499647E+003                  1.0004388041750128E+002                  2.0001905284325647E+000                  1.1619854244136292E+007                  9.9999991073720240E-001                  7.0652006416662561E+000                  1.2949432906286484E-001                  1.0000000046273784E-004                  1.9179022405472703E+000                  6.8507468454804565E-001                 -5.6089173781864077E-001                  6.3460883319612738E-025                  0.0000000000000000E+000                 -9.6950185338935827E-009                  2.2183415581584135E+006                  1.0091339055523328E+001                  4.2224007760197928E+000                  3.7525416438328546E-002                  1.0091453347542501E+001                  1.6867927489626662E-005                  1.3152000643019313E-001                  1.1643361086334847E+000                  0.0000000000000000E+000                  2.5617841285302808E-021                  8.9999999999909999E-002                  8.9999999999853753E-002                 -1.1999999999999998E+001                  3.6529286474624606E-001                  1.1410118793702173E-017                  1.4569513049539256E-002                  6.0013758811448736E-001                  2.8919334087868154E-015                  4.3146762398888470E-021                  7.4011915286431337E-094                  3.4414060723800448E-003                  1.0083971751909248E-003                  9.3604466089380021E-003                  2.0994599496987820E-003                  4.0903242835159982E-003                  6.3460883319612738E-025                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0348592525995672E+000                  5.6067698367413144E-001 
                                       4                  3.6536667075957556E+000                 -4.1314344919780428E+000                  7.0662029155627737E+000                 -8.6783193803248981E-001                  1.7755182490647792E-003                 -2.7506748595902430E+000                  0.0000000000000000E+000                  9.1159174981360280E+000                                        1                  4.4481456665153470E+005                 -2.5631810257715666E-017                 -1.2657197066606158E+015                  0.0000000000000000E+000                 -2.0000000003603155E+001                  3.1295556165773926E+000                 -1.1903089986991942E+001                  1.0000000000000002E+000                  9.9999999999774991E-001                  1.3557139409423299E-001                  4.5047086514124958E+003                  1.0009885976774693E+002                  2.0004291304324053E+000                  1.1646700715092247E+007                  9.9999991083474737E-001                  7.0662028768387950E+000                  1.2952913029978791E-001                  1.0000000045864192E-004                  1.9179022405472699E+000                  6.8507468454804576E-001                 -5.5976366024444424E-001                  6.3582077299697483E-025                  0.0000000000000000E+000                 -9.6997743275116219E-009                  2.2192787379051689E+006                  1.0091351036196242E+001                  4.2222294360072539E+000                  3.7501655076804405E-002                  1.0091465368098195E+001                  1.6875043807093092E-005                  1.3155242498162781E-001                  1.1686482667386708E+000                  0.0000000000000000E+000                  2.5681913183635189E-021                  8.9999999999797492E-002                  8.9999999999741245E-002                 -1.1647817481888636E+001                  3.6529286474624606E-001                  1.1410118793702173E-017                  1.4569513049539249E-002                  6.0013758811448747E-001                  2.8919334087868154E-015                  4.3146762398888523E-021                  7.4158266600332007E-094                  3.4414060723800448E-003                  1.0083971751909248E-003                  9.3604466089380021E-003                  2.0994599496987820E-003                  4.0903242835159982E-003                  6.3582077299697483E-025                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0391365370573444E+000                  5.6123209283044595E-001 
                                       5                  3.6538640555435524E+000                 -4.1302100661034729E+000                  7.0677019466059514E+000                 -8.6783206264040558E-001                  1.7755182490647792E-003                 -2.7506748595902430E+000                  0.0000000000000000E+000                  9.1159497942363448E+000                                        1                  4.4497429481037013E+005                 -2.5625775988112958E-017                 -1.2657196159814345E+015                  0.0000000000000000E+000                 -2.0000000003594504E+001                  3.1296973129733496E+000                 -1.1602059991327961E+001                  5.0000000000000000E-001                  9.9999999999649991E-001                  1.3557135519604951E-001                  4.5067561032216645E+003                  1.0015398214385250E+002                  2.0006682216148142E+000                  1.1686970467742907E+007                  9.9999991098032481E-001                  7.0677019079451959E+000                  1.2958108890676961E-001                  1.0000000045209320E-004                  1.9179022405472708E+000                  6.8507468454804554E-001                 -5.5807768316100037E-001                  6.3763743713591166E-025                  0.0000000000000000E+000                 -9.7068936636806199E-009                  2.2202145788133279E+006                  1.0091362976988252E+001                  4.2220583951533541E+000                  3.7473432169302746E-002                  1.0091477348680794E+001                  1.6885707611513975E-005                  1.3158469981860538E-001                  1.1729633676705011E+000                  0.0000000000000000E+000                  2.5777739038552700E-021                  8.9999999999684999E-002                  8.9999999999572505E-002                 -1.1455931955649723E+001                  3.6529286474624595E-001                  1.1410118793702172E-017                  1.4569513049539238E-002                  6.0013758811448747E-001                  2.8919334087868154E-015                  4.3146762398888598E-021                  7.4377751717828966E-094                  3.4414060723800448E-003                  1.0083971751909248E-003                  9.3604466089380021E-003                  2.0994599496987820E-003                  4.0903242835159982E-003                  6.3763743713591175E-025                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0434169178350525E+000                  5.6206182280942230E-001 
                                       6                  3.6541916215581542E+000                 -4.1281788976121305E+000                  7.0701888963097987E+000                 -8.6783231115492110E-001                  1.7755182490647792E-003                 -2.7506748595902430E+000                  0.0000000000000000E+000                  9.1160022146638582E+000                                        1                  4.4524126273015531E+005                 -2.5613683824325098E-017                 -1.2657197370778598E+015                  0.0000000000000000E+000                 -2.0000000003568484E+001                  3.1299313617783380E+000                 -1.1425968732272279E+001                  6.6666666666666674E-001                  9.9999999999399991E-001                  1.3557127761864199E-001                  4.5101566000518969E+003                  1.0026465580474063E+002                  2.0011478672764484E+000                  1.1754086875783386E+007                  9.9999991122119003E-001                  7.0701888577536511E+000                  1.2966696156215141E-001                  1.0000000044010849E-004                  1.9179022405472708E+000                  6.8507468454804554E-001                 -5.5528592063838444E-001                  6.4066257603565082E-025                  0.0000000000000000E+000                 -9.7186780147543221E-009                  2.2220826760162218E+006                  1.0091386886037920E+001                  4.2217172721179415E+000                  3.7421558129430404E-002                  1.0091501337508914E+001                  1.6903418697022261E-005                  1.3164882679736736E-001                  1.1816024656304498E+000                  0.0000000000000000E+000                  2.5936560089850404E-021                  8.9999999999459984E-002                  8.9999999999291258E-002                 -1.1221848749616354E+001                  3.6529286474624595E-001                  1.1410118793702170E-017                  1.4569513049539228E-002                  6.0013758811448747E-001                  2.8919334087868158E-015                  4.3146762398888673E-021                  7.4743214793326352E-094                  3.4414060723800448E-003                  1.0083971751909248E-003                  9.3604466089380021E-003                  2.0994599496987820E-003                  4.0903242835159982E-003                  6.4066257603565091E-025                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0519870276615275E+000                  5.6343785927156098E-001 
                                       7                  3.6546555483758998E+000                 -4.1253048874603389E+000                  7.0737083846972588E+000                 -8.6783268218813148E-001                  1.7755182490647792E-003                 -2.7506748595902430E+000                  0.0000000000000000E+000                  9.1160740989451590E+000                                        1                  4.4562317721275665E+005                 -2.5595502598005723E-017                 -1.2657198987606615E+015                  0.0000000000000000E+000                 -2.0000000003505484E+001                  3.1302604644590000E+000                 -1.1287666034106000E+001                  7.2727272727272740E-001                  9.9999999999024991E-001                  1.3557116179533091E-001                  4.5149770632588461E+003                  1.0043173713217239E+002                  2.0018709745952643E+000                  1.1849728084078809E+007                  9.9999991156065082E-001                  7.0737083462885373E+000                  1.2978786418454594E-001                  1.0000000042075134E-004                  1.9179022405472708E+000                  6.8507468454804554E-001                 -5.5134593416332789E-001                  6.4496769062063420E-025                  0.0000000000000000E+000                 -9.7353002985847128E-009                  2.2248734322699970E+006                  1.0091421955887997E+001                  4.2212075898968511E+000                  3.7345632493972152E-002                  1.0091536528331345E+001                  1.6928531470620786E-005                  1.3174403557583789E-001                  1.1945815088223033E+000                  0.0000000000000000E+000                  2.6160986157243274E-021                  8.9999999999122504E-002                  8.9999999998890468E-002                 -1.1010995384301461E+001                  3.6529286474624589E-001                  1.1410118793702169E-017                  1.4569513049539217E-002                  6.0013758811448759E-001                  2.8919334087868158E-015                  4.3146762398888748E-021                  7.5263475189299622E-094                  3.4414060723800448E-003                  1.0083971751909248E-003                  9.3604466089380021E-003                  2.0994599496987820E-003                  4.0903242835159982E-003                  6.4496769062063420E-025                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0648636408928278E+000                  5.6538401578786157E-001 
                                       8                  3.6552850926026985E+000                 -4.1214103198461149E+000                  7.0784787909830422E+000                 -8.6783318899534567E-001                  1.7755182490647792E-003                 -2.7506748595902430E+000                  0.0000000000000000E+000                  9.1161675220395111E+000                                        1                  4.4614815194329567E+005                 -2.5570434420068894E-017                 -1.2657200887579718E+015                  0.0000000000000000E+000                 -2.0000000003367770E+001                  3.1307028026247408E+000                 -1.1152967460208542E+001                  7.3333333333333239E-001                  9.9999999998509370E-001                  1.3557100358838697E-001                  4.5215266257893154E+003                  1.0066356811665963E+002                  2.0028723203181440E+000                  1.1980606137928603E+007                  9.9999991201810556E-001                  7.0784787527729902E+000                  1.2995082368706828E-001                  1.0000000039001379E-004                  1.9179022405472708E+000                  6.8507468454804554E-001                 -5.4602514639136290E-001                  6.5084801964082628E-025                  0.0000000000000000E+000                 -9.7577333163167396E-009                  2.2286892428359645E+006                  1.0091468901327723E+001                  4.2205107973169325E+000                  3.7241888793952689E-002                  1.0091583647190769E+001                  1.6962665980766104E-005                  1.3187318366870171E-001                  1.2124682137527094E+000                  0.0000000000000000E+000                  2.6464546239247205E-021                  8.9999999998658431E-002                  8.9999999998342031E-002                 -1.0826631599279791E+001                  3.6529286474624584E-001                  1.1410118793702167E-017                  1.4569513049539207E-002                  6.0013758811448759E-001                  2.8919334087868158E-015                  4.3146762398888824E-021                  7.5974367480921402E-094                  3.4414060723800448E-003                  1.0083971751909248E-003                  9.3604466089380021E-003                  2.0994599496987820E-003                  4.0903242835159982E-003                  6.5084801964082628E-025                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0826114051632501E+000                  5.6801949494848714E-001 
                                       9                  3.6560432905166800E+000                 -4.1167244908101628E+000                  7.0842190409507015E+000                 -8.6783387392911804E-001                  1.7755182490647792E-003                 -2.7506748595902430E+000                  0.0000000000000000E+000                  9.1162668814359780E+000                                        1                  4.4678970895400067E+005                 -2.5536184810649610E-017                 -1.2657205499406635E+015                  0.0000000000000000E+000                 -2.0000000003116114E+001                  3.1312289153060999E+000                 -1.1107209969647867E+001                  9.0000000000000158E-001                  9.9999999997806244E-001                  1.3557078977704570E-001                  4.5294272702903645E+003                  1.0098359910511357E+002                  2.0042508451041292E+000                  1.2140009901412711E+007                  9.9999991256489207E-001                  7.0842190029781147E+000                  1.3014588910888369E-001                  1.0000000034616851E-004                  1.9179022405472708E+000                  6.8507468454804554E-001                 -5.3965561481178148E-001                  6.5799458452342748E-025                  0.0000000000000000E+000                 -9.7844881250661734E-009                  2.2338495666435966E+006                  1.0091529443548799E+001                  4.2195675627206723E+000                  3.7107731148348228E-002                  1.0091644435750846E+001                  1.7003845935369117E-005                  1.3204649029063925E-001                  1.2369312765134184E+000                  0.0000000000000000E+000                  2.6828496929417569E-021                  8.9999999998025632E-002                  8.9999999997674066E-002                 -1.0658812866190100E+001                  3.6529286474624578E-001                  1.1410118793702164E-017                  1.4569513049539195E-002                  6.0013758811448770E-001                  2.8919334087868162E-015                  4.3146762398888906E-021                  7.6838939075143540E-094                  3.4414060723800448E-003                  1.0083971751909248E-003                  9.3604466089380021E-003                  2.0994599496987820E-003                  4.0903242835159982E-003                  6.5799458452342748E-025                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1068880534160166E+000                  5.7118892815647726E-001 
