                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      8.9999999999999997E-002      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6 
                            model_number                                 star_age                                star_mass                                    log_L                                 log_Teff                                    log_R 
                                     550                  4.6657315168705597E+011                  8.9999999999999997E-002                 -3.0425712525013475E+000                  3.4524040956001203E+000                 -9.0283498099828774E-001 
                                     600                  5.1657315168705597E+011                  8.9999999999999997E-002                 -3.0220857604338534E+000                  3.4552067634721366E+000                 -8.9819757070857265E-001 
                                     650                  5.6657315168705591E+011                  8.9999999999999997E-002                 -3.0031903453471207E+000                  3.4576523031825177E+000                 -8.9364094258596893E-001 
                                     700                  6.1657315168705798E+011                  8.9999999999999997E-002                 -2.9860038994564753E+000                  3.4598044897544193E+000                 -8.8935209278444938E-001 
                                     750                  6.6657315168706116E+011                  8.9999999999999997E-002                 -2.9704842458865226E+000                  3.4617234131845604E+000                 -8.8543011285975537E-001 
                                     800                  7.1657315168706445E+011                  8.9999999999999997E-002                 -2.9566125406919186E+000                  3.4634278229070685E+000                 -8.8190307970746906E-001 
                                     850                  7.6657315168706775E+011                  8.9999999999999997E-002                 -2.9443186264355417E+000                  3.4649306023633657E+000                 -8.7876168149187506E-001 
                                     900                  8.1657315168707092E+011                  8.9999999999999997E-002                 -2.9334089063378910E+000                  3.4662700348105679E+000                 -8.7598568633745444E-001 
                                     950                  8.6657315168707422E+011                  8.9999999999999997E-002                 -2.9236856023154849E+000                  3.4674817939600864E+000                 -8.7354755262528860E-001 
                                    1000                  9.1657315168707739E+011                  8.9999999999999997E-002                 -2.9149745074710141E+000                  3.4685944216472770E+000                 -8.7141726057743452E-001 
                                    1050                  9.6657315168708069E+011                  8.9999999999999997E-002                 -2.9071315878090269E+000                  3.4696287915335247E+000                 -8.6956454051893639E-001 
                                    1100                  1.0165731516870839E+012                  8.9999999999999997E-002                 -2.9000408154505224E+000                  3.4705993964216635E+000                 -8.6796036411596089E-001 
                                    1150                  1.0665731516870872E+012                  8.9999999999999997E-002                 -2.8935959580509079E+000                  3.4715197407866238E+000                 -8.6657862414607534E-001 
                                    1200                  1.1165731516870903E+012                  8.9999999999999997E-002                 -2.8876906891910057E+000                  3.4724051673066509E+000                 -8.6539684275617768E-001 
                                    1250                  1.1665731516870938E+012                  8.9999999999999997E-002                 -2.8822279042348611E+000                  3.4732701304192322E+000                 -8.6439537650326781E-001 
                                    1300                  1.2165731516870969E+012                  8.9999999999999997E-002                 -2.8771155214461022E+000                  3.4741292146855085E+000                 -8.6355735364144115E-001 
                                    1350                  1.2665731516871001E+012                  8.9999999999999997E-002                 -2.8722646438150945E+000                  3.4749975696282918E+000                 -8.6286862471150461E-001 
                                    1400                  1.3165731516871033E+012                  8.9999999999999997E-002                 -2.8675939516255324E+000                  3.4758895162074275E+000                 -8.6231717177499401E-001 
                                    1450                  1.3665731516871067E+012                  8.9999999999999997E-002                 -2.8630270594172087E+000                  3.4768191511033146E+000                 -8.6189299546260767E-001 
                                    1500                  1.4165731516871099E+012                  8.9999999999999997E-002                 -2.8584923980008625E+000                  3.4778002826193899E+000                 -8.6158792778658377E-001 
                                    1550                  1.4665731516871130E+012                  8.9999999999999997E-002                 -2.8539472228228848E+000                  3.4788394564380019E+000                 -8.6139368783481995E-001 
                                    1600                  1.5165731516871165E+012                  8.9999999999999997E-002                 -2.8493835777081480E+000                  3.4799338957494053E+000                 -8.6130074390025801E-001 
                                    1650                  1.5665731516871196E+012                  8.9999999999999997E-002                 -2.8448220465606795E+000                  3.4810729894816910E+000                 -8.6129816579109508E-001 
                                    1700                  1.6165731516871228E+012                  8.9999999999999997E-002                 -2.8403038326556156E+000                  3.4822401756372536E+000                 -8.6137343114968834E-001 
                                    1750                  1.6665731516871260E+012                  8.9999999999999997E-002                 -2.8358702900403752E+000                  3.4834182591773186E+000                 -8.6151282692219833E-001 
                                    1800                  1.7165731516871294E+012                  8.9999999999999997E-002                 -2.8315639327044106E+000                  3.4845864104280717E+000                 -8.6169595075572236E-001 
                                    1850                  1.7665731516871326E+012                  8.9999999999999997E-002                 -2.8273750705131491E+000                  3.4857354015341651E+000                 -8.6189950187227760E-001 
                                    1900                  1.8165731516871357E+012                  8.9999999999999997E-002                 -2.8232896781227175E+000                  3.4868620364244212E+000                 -8.6211007545757468E-001 
                                    1950                  1.8665731516871392E+012                  8.9999999999999997E-002                 -2.8193302748101172E+000                  3.4879631342589148E+000                 -8.6233256947026138E-001 
                                    2000                  1.9165731516871423E+012                  8.9999999999999997E-002                 -2.8154405697557650E+000                  3.4890570702716213E+000                 -8.6257558896849795E-001 
                                    2050                  1.9665731516871455E+012                  8.9999999999999997E-002                 -2.8115385243309983E+000                  3.4901642241073261E+000                 -8.6283887392752545E-001 
                                    2100                  2.0165731516871487E+012                  8.9999999999999997E-002                 -2.8075043629433405E+000                  3.4913146200366594E+000                 -8.6312258509236228E-001 
                                    2150                  2.0665731516871521E+012                  8.9999999999999997E-002                 -2.8031573523074362E+000                  3.4925561949303114E+000                 -8.6343222956171461E-001 
                                    2200                  2.1165731516871553E+012                  8.9999999999999997E-002                 -2.7982600155688697E+000                  3.4939550636755223E+000                 -8.6378129868285247E-001 
                                    2250                  2.1665731516871584E+012                  8.9999999999999997E-002                 -2.7925759255959144E+000                  3.4955797727436817E+000                 -8.6418867183269399E-001 
                                    2300                  2.2165731516871616E+012                  8.9999999999999997E-002                 -2.7857839647817690E+000                  3.4975282727086623E+000                 -8.6468969135558249E-001 
                                    2350                  2.2665731516871650E+012                  8.9999999999999997E-002                 -2.7775984054900511E+000                  3.4999009328710375E+000                 -8.6534223203447347E-001 
                                    2400                  2.3165731516871685E+012                  8.9999999999999997E-002                 -2.7686033627825299E+000                  3.5025398381312431E+000                 -8.6612252120112465E-001 
                                    2450                  2.3665731516871641E+012                  8.9999999999999997E-002                 -2.7594843174462582E+000                  3.5052438728768855E+000                 -8.6697106802427326E-001 
                                    2500                  2.4165731516871543E+012                  8.9999999999999997E-002                 -2.7506748595902426E+000                  3.5078765599013746E+000                 -8.6783171314524388E-001 
                                    2550                  2.4665731516871445E+012                  8.9999999999999997E-002                 -2.7430801805089740E+000                  3.5101527762882307E+000                 -8.6858680637832164E-001 
                                    2600                  2.5165731516871348E+012                  8.9999999999999997E-002                 -2.7369194005988291E+000                  3.5119846819436771E+000                 -8.6917022773414210E-001 
